title,category,severity,tag,why,action,,,cat,,tag
Appliance fitted to sealed heating system with PRV fitted but no overheat protection,Safety,AR,GAS SAFETY,,,,,,,
Worcester Gstar 28i Junior failed burner sweep test,Safety,AR,GAS SAFETY,,,,,,,
Incorrectly adjusted burner presure effecting safe operation,Safety,ID,GAS PRESSURE,,,,,,,
Incorrectly adjusted burner presure not effecting safe operation,Safety,AR,GAS PRESSURE,,,,,,,
Appliance not securely fixed/unstable,Safety,AR,GAS SAFETY,,,,,,,
Appliance not securely fixed/unstable (straining gas supply),Safety,ID,GAS SAFETY,,,,,,,
No cooker chain/stability bracket,Cooker,NCS,COOKER,,,,,,,
Cooker below worktop level,Cooker,NCS,COOKER,,,,,,,
Inadequate clearance to side of cooker/hob,Cooker,NCS,COOKER,,,,,,,
Inadequate purge ventilation for cooker/hob,Cooker,NCS,COOKER,,,,,,,
Inadequate combustion ventilation for cooker/hob,Cooker,AR,COOKER,,,,,,,
Inadequate cooker/hob clearances,Cooker,NCS,COOKER,,,,,,,
Cooker safety device damaged/non operational,Cooker,ID,COOKER,,,,,,,
Cooker point not to specifications,Cooker,NCS,COOKER,,,,,,,
Cooker door damaged,Cooker,NCS,COOKER,,,,,,,
Hob fitted with cooker hose (no available M.I's),Cooker,NCS,COOKER,,,,,,,
Poor flame picture FL appliance,Cooker,ID,COOKER,,,,,,,
Poor flame picture on flued appliance (no signs of spillage),Safety,AR,GAS SAFETY,,,,,,,
Appliance showing signs of distress/spillage,Safety,ID,GAS SAFETY,,,,,,,
RS appliance room seal compromised (no signs of spillage),Safety,AR,GAS SAFETY,,,,,,,
Flue gas sample point missing/damaged,Safety,ID,GAS SAFETY,,,,,,,
Air intake sample point missing/damaged,Safety,AR,GAS SAFETY,,,,,,,
No closure plate fitted or inadequtely sealed (no sign of spillage),Safety,AR,GAS SAFETY,,,,,,,
No closure plate fitted or inadequtely sealed (signs of spillage),Safety,ID,GAS SAFETY,,,,,,,
Builders opening inadequately sealed (no signs of spillage),Safety,AR,GAS SAFETY,,,,,,,
Builders opening inadequately sealed (signs of spillage),Safety,ID,GAS SAFETY,,,,,,,
Space heater fitted to 'letterbox' opening with inadequate catchment space (no signs of spillage),Safety,AR,GAS SAFETY,,,,,,,
Space heater fitted to 'letterbox' opening with inadequate catchment space (signs of spillage),Safety,ID,GAS SAFETY,,,,,,,
Pipework entering chimney breast not sealed,Safety,AR,GAS SAFETY,,,,,,,
Inadequate ventilation not effecting safe operation,Ventilation,AR,VENTILATION ,,,,,,,
Inadequate ventilation effecting safe operation,Ventilation,ID,VENTILATION ,,,,,,,
Co leaking from condensate system,Condensate,ID,CONDENSATE,,,,,,,
Condensate not to specifications,Condensate,NCS,CONDENSATE,,,,,,,
Soakaway not fitted within 500mm of building,Condensate,NCS,CONDENSATE,,,,,,,
Incorrect gas rate effecting safe operation,Safety,ID,GAS SAFETY,,,,,,,
Incorrect gas rate not effecting safe operation,Safety,AR,GAS SAFETY,,,,,,,
Incorrect inlet pressure not effecting safe operation,Safety,AR,GAS PRESSURE,,,,,,,
Incorrect inlet pressure effecting safe operation,Safety,ID,GAS PRESSURE,,,,,,,
Appliance not recorded on LGSR,Documentation,Advisory,DOCUMENTATION,,,,,,,
Incorrect appliance details recorded,Documentation,Advisory,DOCUMENTATION,,,,,,,
Incorrect appliance location recorded,Documentation,Advisory,DOCUMENTATION,,,,,,,
Appliance defect under classified by engineer,Documentation,Advisory,DOCUMENTATION,,,,,,,
Heat input incorrectly recorded or recorded out of tolerance,Documentation,Advisory,DOCUMENTATION,,,,,,,
Information on LGSR recorded incorrectly,Documentation,Advisory,DOCUMENTATION,,,,,,,
No Combustion readings recorded where specified by manufacturer,Documentation,Advisory,DOCUMENTATION,,,,,,,
No Compartment label,Ventilation,NCS,VENTILATION ,,,,,,,
